id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth466_des_com_shs_out_eps_dil_q,Common Shares Used to Calculate Fully Diluted Earnings Per Share,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,55,140,1.1,[]
oth466_des_com_shs_out_q,Common Shares Outstanding,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,58,206,1.1,[]
oth466_des_com_shs_out_secs_q,Common Shares Outstanding - Security,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,69,211,1.1,[]
oth466_des_common_shs,Common Shares Outstanding,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,56,170,1.1,[]
oth466_des_employee,Full-time Employees,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,34,80,1.1,[]
oth466_des_inven_days,Inventories Days Held,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,34,77,1.1,[]
oth466_des_mkt_cap_q,Market Capitalization,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9736,36,76,1.1,[]
oth466_des_mkt_val_public,Market Capitalization (Public),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.979,32,49,1.1,[]
oth466_des_net_debt_q,Net Debt,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,65,263,1.1,[]
oth466_des_par_ps_q,Par Value,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8058,19,22,1.1,[]
oth466_des_price_close,MARKET PRICE - FISCAL PERIOD CLOSE,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,31,42,1.1,[]
oth466_des_price_close_fp_q,MARKET PRICE - FISCAL PERIOD CLOSE,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,31,66,1.1,[]
oth466_des_receiv_turn_days,Accounts Receivables Days,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,36,68,1.1,[]
oth466_des_shs_closely_held,Shares - Number Of Closely Held,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,38,57,1.1,[]
oth466_des_treas_shs_q,Treasury Shares,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.3603,16,20,1.1,[]
oth466_des_wkcap_q,Working Capital,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9251,20,45,1.1,[]
oth466_dpxe_tpc_fc,Capital Expenditures,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,52,166,1.1,[]
oth466_drox_cni_lid_spe_si,Diluted Earnings Per Share Including Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,49,119,1.1,[]
oth466_drox_xe_cni_si,Income Excl Extraordinary Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,36,70,1.1,[]
oth466_gf_nevni_sb,Inventories - Finished Goods,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8893,53,101,1.1,[]
oth466_ghc_tvni_fc,Changes In Inventories,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,56,189,1.1,[]
oth466_gnhc_viecer_cca_fc,Accounts Receivable - Decrease (Increase),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9828,50,92,1.1,[]
oth466_grhc_dfd_sb,Deferred Charges,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.7683,37,60,1.1,[]
oth466_hs_yst_fo_mun_sed,Treas Shares - Common Stock Primary Issue,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.4518,27,38,1.1,[]
oth466_hto_cni_pmoc_si,Comp Inc - Currency Trans Adj,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.2768,8,11,1.1,[]
oth466_hto_pxe_tni_si,Other Interest Expense - Banks,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,56,147,1.1,[]
oth466_hto_ts_viecer_sb,Other Receivables,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8899,39,69,1.1,[]
oth466_htua_shs_moc_sed,Common Shares Authorized,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.5393,26,36,1.1,[]
oth466_is_amort_intang,Amortization of Intangibles,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9437,49,105,1.1,[]
oth466_is_amort_intang_q,Amortization Of Intangibles,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.3198,21,35,1.1,[]
oth466_is_aud_fees,Audit Fees,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,49,127,1.1,[]
oth466_is_basic_eps_cont_ops_q,Basic EPS Before Abnormal Items,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9085,190,676,1.1,[]
oth466_is_cogs,Cost of Goods Sold (COGS) incl D&A,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,53,120,1.1,[]
oth466_is_cogs_q,Cost of Goods Sold (COGS) incl D&A,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9912,28,42,1.1,[]
