Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl14_high_eps_fy4,The Highest Estimation of Earnings Per Share - upcoming 4 years,Matrix,1.5,50%,100%,2
anl14_high_eps_fy5,The highest estimation of earnings per share - upcoming 5 years,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp1,The highest estimation of reported earnings per share - upcoming quarter,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp2,The Highest Estimation of Reported Earnings Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp3,The Highest Estimation of Reported Earnings Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp4,The highest estimation of reported earnings per share - upcoming 4 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fp5,The highest estimation of reported earnings per share - upcoming 5 quarters,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fy1,The Highest Estimation of Reported Earnings Per Share - upcoming year,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fy2,The highest estimation of reported earnings per share - upcoming 2 years,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fy3,The Highest Estimation of Reported Earnings Per Share - upcoming 3 years,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fy4,The Highest estimation of Reported Earnings Per Share - upcoming 4 years,Matrix,1.5,50%,100%,2
anl14_high_epsrep_fy5,The highest estimation of reported earnings per share - upcoming 5 years,Matrix,1.5,50%,100%,2
anl14_high_nav_fy1,The Highest Estimation of Net Asset Value - upcoming year,Matrix,1.5,50%,100%,2
anl14_high_nav_fy2,The Highest Estimation of Net Asset Value - Upcoming 2 Years,Matrix,1.5,50%,100%,2
anl14_high_nav_fy3,The Highest Estimation of Net Asset Value - upcoming 3 years,Matrix,1.5,50%,100%,2
anl14_high_ndebt_fp1,The Highest Estimation of Net Debt - upcoming quarter,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fp2,The Highest Estimation of Net Debt - Upcoming 2 Quarters,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fp3,The highest estimation of Net Debt - upcoming 3 quarters,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fp4,The Highest Estimation of Net Debt - upcoming 4 quarters,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fy1,The Highest Estimation of Net Debt - upcoming year,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fy2,The highest estimation of Net Debt - upcoming 2 years,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fy3,The Highest Estimation of Net Debt - upcoming 3 years,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fy4,The Highest Estimation of Net Debt - Upcoming 4 Years,Matrix,1.5,50%,100%,3
anl14_high_ndebt_fy5,The Highest Estimation of Net Debt - Upcoming 5 Years,Matrix,1.5,50%,100%,3
anl14_high_ntp_fp1,The Highest Estimation of Net Profit - Upcoming Quarter,Matrix,1.5,50%,100%,3
anl14_high_ntp_fp2,The highest estimation of Net Profit - upcoming 2 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntp_fp3,The Highest Estimation of Net Profit - upcoming 3 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntp_fp4,The Highest Estimation of Net Profit - upcoming 4 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntp_fp5,The highest estimation of Net Profit - upcoming 5 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntp_fy1,The highest estimation of Net Profit - upcoming year,Matrix,1.5,50%,100%,3
anl14_high_ntp_fy2,The Highest Estimation of Net Profit - upcoming 2 years,Matrix,1.5,50%,100%,3
anl14_high_ntp_fy3,The highest estimation of net profit - upcoming 3 years,Matrix,1.5,50%,100%,3
anl14_high_ntp_fy4,The highest estimation of net profit - upcoming 4 years,Matrix,1.5,50%,100%,3
anl14_high_ntp_fy5,The Highest Estimation of Net Profit - Upcoming 5 Years,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fp1,The Highest Estimation of Reported Net Profit - upcoming quarter,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fp2,The Highest Estimation of Reported Net Profit - Upcoming 2 Quarters,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fp3,The highest estimation of reported net profit - upcoming 3 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fp4,The Highest Estimation of Reported Net Profit - upcoming 4 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fp5,The highest estimation of Reported Net Profit - upcoming 5 quarters,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fy1,The Highest Estimation of Reported Net Profit - upcoming year,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fy2,The highest estimation of reported net profit - upcoming 2 years,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fy3,The Highest Estimation of Reported Net Profit - Upcoming 3 Years,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fy4,The highest estimation of Reported Net Profit - upcoming 4 years,Matrix,1.5,50%,100%,3
anl14_high_ntprep_fy5,The highest estimation of Reported Net Profit - upcoming 5 years,Matrix,1.5,50%,100%,3
anl14_high_opp_fp1,The Highest Estimation of Operating Profit - upcoming quarter,Matrix,1.5,50%,100%,3
anl14_high_opp_fy1,The Highest Estimation of Operating Profit - Upcoming Year,Matrix,1.5,50%,100%,3
anl14_high_opp_fy2,The highest estimation of operating profit - upcoming 2 years,Matrix,1.5,50%,100%,3
anl14_high_opp_fy3,The highest estimation of operating profit - upcoming 3 years,Matrix,1.5,50%,100%,3
anl14_high_ptp_fp1,The Highest Estimation of Pretax Profit - upcoming quarter,Matrix,1.5,50%,100%,3
anl14_high_ptp_fp2,The highest estimation of pretax profit - upcoming 2 quarters,Matrix,1.5,50%,100%,3
anl14_high_ptp_fp3,The Highest Estimation of Pretax Profit - upcoming 3 quarters,Matrix,1.5,50%,100%,3
anl14_high_ptp_fy1,The Highest Estimation of Pretax Profit - Upcoming Year,Matrix,1.5,50%,100%,3
anl14_high_ptp_fy2,The Highest Estimation of Pretax Profit - upcoming 2 years,Matrix,1.5,50%,100%,3
anl14_high_ptp_fy3,The highest estimation of pretax profit - upcoming 3 years,Matrix,1.5,50%,100%,3
anl14_high_ptp_fy4,The Highest Estimation of Pretax Profit - upcoming 4 years,Matrix,1.5,50%,100%,3
anl14_high_ptp_fy5,The highest estimation of pretax profit - upcoming 5 years,Matrix,1.5,50%,100%,3
anl14_high_ptprep_fy1,The highest estimation of reported pretax profit - upcoming year,Matrix,1.5,50%,100%,3
